INFO  09:20:40,398 | org.apache.james.container.spring.context.JamesServerApplicationContext | Refreshing org.apache.james.container.spring.context.JamesServerApplicationContext@32e6e9c3: startup date [Sat Apr 28 09:20:40 CEST 2018]; root of context hierarchy
INFO  09:20:42,414 | org.apache.james.container.spring.context.JamesServerApplicationContext | Bean 'logprovider' of type [class org.apache.james.container.spring.lifecycle.LogProviderImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO  09:20:42,460 | james.mailrepositorystore | JamesMailStore init...
INFO  09:20:42,476 | james.mailrepositorystore | Registering Repository instance of class org.apache.james.mailrepository.file.FileMailRepository to handle file protocol requests for repositories with key file
INFO  09:20:42,476 | james.mailrepositorystore | Registering Repository instance of class org.apache.james.mailrepository.jdbc.JDBCMailRepository to handle db protocol requests for repositories with key db
INFO  09:20:42,476 | james.mailrepositorystore | Registering Repository instance of class org.apache.james.mailrepository.jdbc.JDBCMailRepository to handle dbfile protocol requests for repositories with key dbfile
INFO  09:20:42,476 | james.mailrepositorystore | Registering Repository instance of class org.apache.james.mailrepository.file.MBoxMailRepository to handle mbox protocol requests for repositories with key mbox
INFO  09:20:42,554 | james.dnsservice | Autodiscovery is enabled - trying to discover your system's DNS Servers
INFO  09:20:42,554 | james.dnsservice | Adding autodiscovered server 192.168.1.1
INFO  09:20:42,554 | james.dnsservice | Adding autodiscovered server 92.242.242.3
INFO  09:20:42,554 | james.dnsservice | Adding autodiscovered server 92.242.242.4
INFO  09:20:42,554 | james.dnsservice | Adding autodiscovered search path Speedport_W_724V_09091602_00_006.
INFO  09:20:42,554 | james.dnsservice | DNS Server is: 192.168.1.1
INFO  09:20:42,554 | james.dnsservice | DNS Server is: 92.242.242.3
INFO  09:20:42,554 | james.dnsservice | DNS Server is: 92.242.242.4
INFO  09:20:42,617 | james.dnsservice | Registered cache, resolver and search paths as DNSJava defaults
INFO  09:20:47,586 | james.domainlist | Set autodetect to: true
INFO  09:20:47,586 | james.domainlist | Set autodetectIP to: true
INFO  09:20:51,426 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:51,457 | james.mailprocessor | Mailet PostmasterAlias instantiated.
INFO  09:20:51,457 | james.mailprocessor | Matcher RelayLimit=30 instantiated.
INFO  09:20:51,473 | james.mailprocessor | Mailet Null instantiated.
INFO  09:20:51,473 | james.mailprocessor | Matcher SMTPAuthSuccessful instantiated.
INFO  09:20:51,489 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  09:20:51,489 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:51,489 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  09:20:51,957 | james.mailprocessor | Matcher SMTPAuthSuccessful instantiated.
INFO  09:20:51,973 | james.mailprocessor | Mailet SetMimeHeader instantiated.
INFO  09:20:51,973 | james.mailprocessor | Matcher RecipientIsLocal instantiated.
INFO  09:20:51,973 | james.mailprocessor | Mailet RecipientToLowerCase instantiated.
INFO  09:20:51,973 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:52,004 | james.mailprocessor | Mailet RecipientRewriteTable instantiated.
INFO  09:20:52,004 | james.mailprocessor | Matcher RecipientIsLocal instantiated.
INFO  09:20:52,114 | james.mailprocessor | Mailet LocalDelivery instantiated.
INFO  09:20:52,114 | james.mailprocessor | Matcher HostIsLocal instantiated.
INFO  09:20:52,114 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  09:20:52,114 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:52,145 | james.mailetcontext | maxRetries is larger than total number of attempts specified.  Increasing last delayTime with 19 attempts 
INFO  09:20:52,145 | james.mailetcontext | Delay of 21600000 msecs is now attempted: 20 times
INFO  09:20:52,161 | james.mailprocessor | Mailet RemoteDelivery instantiated.
INFO  09:20:52,504 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:52,536 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  09:20:52,536 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\error
INFO  09:20:52,536 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  09:20:52,536 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\error
INFO  09:20:52,551 | james.mailrepositorystore | added repository: file://var/mail/error/->org.apache.james.mailrepository.file.FileMailRepository
INFO  09:20:52,551 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  09:20:52,614 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:52,614 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  09:20:52,614 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\spam
INFO  09:20:52,614 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  09:20:52,614 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\spam
INFO  09:20:52,614 | james.mailrepositorystore | added repository: file://var/mail/spam/->org.apache.james.mailrepository.file.FileMailRepository
INFO  09:20:52,614 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  09:20:52,676 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:52,676 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  09:20:52,676 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\address-error
INFO  09:20:52,676 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  09:20:52,676 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\address-error
INFO  09:20:52,676 | james.mailrepositorystore | added repository: file://var/mail/address-error/->org.apache.james.mailrepository.file.FileMailRepository
INFO  09:20:52,676 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  09:20:52,754 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:52,770 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  09:20:52,770 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\relay-denied
INFO  09:20:52,770 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  09:20:52,786 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\relay-denied
INFO  09:20:52,786 | james.mailrepositorystore | added repository: file://var/mail/relay-denied/->org.apache.james.mailrepository.file.FileMailRepository
INFO  09:20:52,786 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  09:20:52,879 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:52,911 | james.mailprocessor | Mailet DSNBounce instantiated.
INFO  09:20:52,989 | james.mailspooler | org.apache.james.mailetcontainer.impl.JamesMailSpooler init...
INFO  09:20:52,989 | james.mailspooler | org.apache.james.mailetcontainer.impl.JamesMailSpooler uses 20 Thread(s)
INFO  09:20:52,989 | james.mailspooler | Run org.apache.james.mailetcontainer.impl.JamesMailSpooler: dequeuer-1
INFO  09:20:52,989 | james.mailspooler | Run org.apache.james.mailetcontainer.impl.JamesMailSpooler: dequeuer-2
INFO  09:20:53,004 | james.mailspooler | Queue=MailQueue:spool
INFO  09:20:52,989 | james.mailspooler | Queue=MailQueue:spool
INFO  09:20:53,036 | james.fetchmail | FetchMail Disabled
INFO  09:20:53,083 | james.smtpserver | SMTP Service bound to: 0.0.0.0:25
