INFO  09:20:51,426 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:51,457 | james.mailprocessor | Mailet PostmasterAlias instantiated.
INFO  09:20:51,457 | james.mailprocessor | Matcher RelayLimit=30 instantiated.
INFO  09:20:51,473 | james.mailprocessor | Mailet Null instantiated.
INFO  09:20:51,473 | james.mailprocessor | Matcher SMTPAuthSuccessful instantiated.
INFO  09:20:51,489 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  09:20:51,489 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:51,489 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  09:20:51,957 | james.mailprocessor | Matcher SMTPAuthSuccessful instantiated.
INFO  09:20:51,973 | james.mailprocessor | Mailet SetMimeHeader instantiated.
INFO  09:20:51,973 | james.mailprocessor | Matcher RecipientIsLocal instantiated.
INFO  09:20:51,973 | james.mailprocessor | Mailet RecipientToLowerCase instantiated.
INFO  09:20:51,973 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:52,004 | james.mailprocessor | Mailet RecipientRewriteTable instantiated.
INFO  09:20:52,004 | james.mailprocessor | Matcher RecipientIsLocal instantiated.
INFO  09:20:52,114 | james.mailprocessor | Mailet LocalDelivery instantiated.
INFO  09:20:52,114 | james.mailprocessor | Matcher HostIsLocal instantiated.
INFO  09:20:52,114 | james.mailprocessor | Mailet ToProcessor instantiated.
INFO  09:20:52,114 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:52,145 | james.mailetcontext | maxRetries is larger than total number of attempts specified.  Increasing last delayTime with 19 attempts 
INFO  09:20:52,145 | james.mailetcontext | Delay of 21600000 msecs is now attempted: 20 times
INFO  09:20:52,161 | james.mailprocessor | Mailet RemoteDelivery instantiated.
INFO  09:20:52,504 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:52,551 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  09:20:52,614 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:52,614 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  09:20:52,676 | james.mailprocessor | Matcher All instantiated.
INFO  09:20:52,676 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  09:20:52,754 | james.mailprocessor | Matcher All instantiated.
